Id,Label,community,frequency,degree_weighted,betweenness
pergunta,pergunta,3,39,156.0000,0.005995
epistemica,epistemica,0,18,64.0000,0.000879
conceitos,conceitos,4,18,58.0000,0.000000
argumento,argumento,0,21,72.0000,0.000209
maquina,maquina,4,58,199.0000,0.011634
multiplicidade,multiplicidade,0,18,83.0000,0.000377
questao,questao,3,22,62.0000,0.000000
acao,acao,1,23,125.0000,0.023100
recursos,recursos,2,24,74.0000,0.001010
pensamento,pensamento,1,15,71.0000,0.000314
generativa,generativa,3,20,110.0000,0.003044
ator,ator,1,40,201.0000,0.006403
escolhas,escolhas,4,19,63.0000,0.000000
conteudo,conteudo,0,18,42.0000,0.000000
escolha,escolha,4,24,78.0000,0.010676
codigo,codigo,0,17,45.0000,0.000000
diferentes,diferentes,0,30,96.0000,0.001318
produz,produz,0,21,148.0000,0.005215
instituicao,instituicao,2,39,159.0000,0.015332
conceito,conceito,1,22,79.0000,0.003390
efeitos,efeitos,0,18,82.0000,0.000063
produzem,produzem,0,16,123.0000,0.005900
rede,rede,1,153,619.0000,0.145068
negociacoes,negociacoes,2,18,53.0000,0.000314
presenca,presenca,2,20,71.0000,0.007344
serem,serem,0,15,24.0000,0.000000
existencias,existencias,4,32,180.0000,0.010671
epistemologia,epistemologia,4,15,46.0000,0.000000
colaboracao,colaboracao,0,38,176.0000,0.012570
alienacao,alienacao,5,16,76.0000,0.010420
ciencia,ciencia,2,123,633.0000,0.222271
problemas,problemas,3,17,76.0000,0.000000
instrumentos,instrumentos,1,26,124.0000,0.006497
inteligencia,inteligencia,3,67,390.0000,0.023508
conceituais,conceituais,4,14,55.0000,0.002071
conhecimento,conhecimento,2,40,227.0000,0.020903
sistemas,sistemas,1,32,120.0000,0.006622
social,social,2,35,168.0000,0.004394
sociais,sociais,2,58,304.0000,0.034901
tornava,tornava,1,15,78.0000,0.007407
temporal,temporal,1,14,38.0000,0.000000
entidades,entidades,4,29,103.0000,0.005461
condicoes,condicoes,3,18,90.0000,0.000534
cadeia,cadeia,1,24,126.0000,0.001726
tecnicos,tecnicos,0,16,60.0000,0.001663
simondon,simondon,5,14,46.0000,0.000188
artificial,artificial,3,63,380.0000,0.010891
producao,producao,2,19,84.0000,0.000502
resposta,resposta,3,15,62.0000,0.000000
parte,parte,0,42,221.0000,0.011361
distribuida,distribuida,1,26,174.0000,0.000690
interlocutores,interlocutores,2,16,74.0000,0.003531
possibilidade,possibilidade,3,16,79.0000,0.000408
infraestrutura,infraestrutura,2,21,93.0000,0.004865
estatistica,estatistica,2,16,62.0000,0.000000
narrativa,narrativa,0,14,64.0000,0.000000
regra,regra,4,14,102.0000,0.010043
actante,actante,0,55,222.0000,0.019438
constituem,constituem,1,17,88.0000,0.000188
pratica,pratica,3,57,257.0000,0.027964
campo,campo,2,99,380.0000,0.061955
tecnicas,tecnicas,3,22,89.0000,0.000628
computacao,computacao,2,25,129.0000,0.000251
associacao,associacao,1,36,162.0000,0.007433
notas,notas,2,17,76.0000,0.003766
diagrama,diagrama,1,38,175.0000,0.010786
ponto,ponto,1,16,61.0000,0.000000
entrevistas,entrevistas,2,20,35.0000,0.000000
treinamento,treinamento,2,19,86.0000,0.002385
responsabilidade,responsabilidade,1,20,89.0000,0.000251
distintas,distintas,2,14,49.0000,0.000000
tecnologia,tecnologia,2,45,142.0000,0.025987
cientista,cientista,2,43,226.0000,0.009227
problema,problema,3,25,94.0000,0.001151
cientifico,cientifico,2,39,130.0000,0.006016
agencia,agencia,1,44,241.0000,0.019836
corporacao,corporacao,2,35,80.0000,0.000847
pesquisa,pesquisa,3,165,661.0000,0.184865
modelo,modelo,0,112,538.0000,0.091279
decisao,decisao,2,23,80.0000,0.000879
existe,existe,0,20,116.0000,0.008223
referencias,referencias,0,20,26.0000,0.000000
versoes,versoes,0,15,40.0000,0.000000
existencia,existencia,4,30,213.0000,0.011361
politica,politica,2,20,104.0000,0.007538
condicao,condicao,0,31,122.0000,0.001381
termos,termos,0,27,156.0000,0.001606
observacao,observacao,2,16,68.0000,0.002950
ausencia,ausencia,2,18,71.0000,0.000063
publico,publico,4,21,43.0000,0.000000
centro,centro,3,48,194.0000,0.032076
construcao,construcao,3,46,280.0000,0.020704
aliancas,aliancas,2,15,62.0000,0.000094
teorico,teorico,1,25,70.0000,0.000586
visiveis,visiveis,1,16,66.0000,0.000063
experiencia,experiencia,3,19,69.0000,0.000000
composicao,composicao,0,94,455.0000,0.061065
categorias,categorias,1,14,30.0000,0.000000
simultaneamente,simultaneamente,4,14,70.0000,0.002323
vocabulario,vocabulario,4,31,162.0000,0.002030
visivel,visivel,1,17,82.0000,0.001648
conversa,conversa,1,14,16.0000,0.000000
trata,trata,3,19,85.0000,0.000126
constitui,constitui,0,16,79.0000,0.000000
sistema,sistema,0,16,49.0000,0.000000
laboratorio,laboratorio,2,46,168.0000,0.012994
mediacao,mediacao,0,16,78.0000,0.000000
processo,processo,0,30,119.0000,0.000000
opera,opera,0,30,145.0000,0.017858
parciais,parciais,4,32,173.0000,0.002260
compreender,compreender,1,21,94.0000,0.001308
analise,analise,2,33,94.0000,0.000126
presente,presente,1,15,62.0000,0.000063
etnografia,etnografia,3,67,358.0000,0.048506
pontos,pontos,0,16,67.0000,0.000267
tecnociencia,tecnociencia,3,15,90.0000,0.000502
familiaridade,familiaridade,2,16,50.0000,0.000000
relacoes,relacoes,1,26,119.0000,0.000188
cortes,cortes,1,19,45.0000,0.000000
humano,humano,4,113,418.0000,0.078275
partir,partir,5,19,51.0000,0.000157
licao,licao,3,20,88.0000,0.001004
propoe,propoe,1,15,48.0000,0.000439
nocao,nocao,4,14,64.0000,0.000188
linguagem,linguagem,0,42,196.0000,0.017576
descricao,descricao,4,17,91.0000,0.000879
mundo,mundo,0,21,97.0000,0.000565
objeto,objeto,0,84,391.0000,0.095323
parentesco,parentesco,3,14,50.0000,0.000000
simetria,simetria,4,22,132.0000,0.018204
ferramenta,ferramenta,4,20,80.0000,0.000251
torna,torna,1,29,143.0000,0.010090
precisamente,precisamente,0,26,112.0000,0.000063
mediacoes,mediacoes,3,19,100.0000,0.003798
pesquisador,pesquisador,0,125,541.0000,0.135778
recusa,recusa,4,14,24.0000,0.000000
politicas,politicas,2,24,90.0000,0.000534
percurso,percurso,0,21,90.0000,0.000000
operacao,operacao,1,19,58.0000,0.000251
significa,significa,2,19,111.0000,0.000220
tornou,tornou,1,18,86.0000,0.000942
tecnico,tecnico,3,53,278.0000,0.022393
ontologia,ontologia,0,25,109.0000,0.004582
resultados,resultados,0,20,78.0000,0.000748
gesto,gesto,4,17,66.0000,0.000989
dado,dado,2,59,241.0000,0.048082
projetos,projetos,3,14,41.0000,0.000000
tecnica,tecnica,5,34,146.0000,0.017890
faire,faire,1,20,96.0000,0.010294
metodo,metodo,4,69,330.0000,0.029910
parcial,parcial,4,30,183.0000,0.002009
escrita,escrita,0,40,290.0000,0.011885
corte,corte,1,24,80.0000,0.001883
descreve,descreve,1,24,125.0000,0.000471
inscricao,inscricao,1,36,127.0000,0.008537
capaz,capaz,1,14,50.0000,0.000398
projeto,projeto,3,15,54.0000,0.000063
permitiu,permitiu,2,14,62.0000,0.000659
nenhum,nenhum,0,16,72.0000,0.000126
latour,latour,1,77,275.0000,0.049364
claude,claude,0,117,567.0000,0.182066
relacao,relacao,0,29,115.0000,0.000847
teoria,teoria,1,24,152.0000,0.007156
registro,registro,1,19,60.0000,0.000251
ideia,ideia,2,14,42.0000,0.000000
spira,spira,3,21,108.0000,0.001695
pessoas,pessoas,1,14,36.0000,0.000063
decisoes,decisoes,4,27,143.0000,0.009729
fato,fato,3,15,39.0000,0.000000
teria,teria,2,18,56.0000,0.000643
acesso,acesso,3,29,106.0000,0.001004
computacional,computacional,2,27,128.0000,0.007344
formulacoes,formulacoes,1,14,22.0000,0.000000
operam,operam,1,14,73.0000,0.003955
letramento,letramento,3,42,226.0000,0.006010
ferramentas,ferramentas,3,17,62.0000,0.000000
marcelo,marcelo,3,15,66.0000,0.000000
revelou,revelou,0,23,115.0000,0.000000
modos,modos,0,21,106.0000,0.002166
descrever,descrever,3,14,52.0000,0.000063
